Case Number,Country,Date,Year,Type,Activity,Injury,Fatal
2005.03.19,AUSTRALIA,19-Mar-2005,2005,Unprovoked,Snorkeling,FATAL,Y
2004.12.16,AUSTRALIA,16-Dec-2004,2004,Unprovoked,Scurfing (surfboard being  towed behind a boat),FATAL,Y
2004.12.11,AUSTRALIA,11-Dec-2004,2004,Unprovoked,Spearfishing,"FATAL, leg bitten",Y
2004.07.10,AUSTRALIA,10-Jul-2004,2004,Unprovoked,Surfing,"FATAL, abdomen, pelvis & leg bitten      ",Y
2003.02.08,AUSTRALIA,08-Feb-2003,2003,Unprovoked,Swimming,FATAL,Y
2002.12.16,AUSTRALIA,16-Dec-2002,2002,Unprovoked,Swimming,FATAL,Y
2002.04.30,AUSTRALIA,30-Apr-2002,2002,Unprovoked,Scallop diving (using surface-supplied air & a POD) ,"FATAL, torso & leg bitten  ",Y
2000.11.06.a,AUSTRALIA,06-Nov-2000,2000,Unprovoked,Swimming,"FATAL, torso bitten, leg severed ",Y
2000.09.25,AUSTRALIA,25-Sep-2000,2000,Unprovoked,Surfing,FATAL,Y
2000.09.24,AUSTRALIA,24-Sep-2000,2000,Unprovoked,Surfing,FATAL,Y
1999.05.29,AUSTRALIA,29-May-1999,1999,Unprovoked,Windsurfing,"FATAL, body not recovered",Y
1998.06.28.a,AUSTRALIA,28-Jun-1998,1998,Unprovoked,Free diving for abalone,"FATAL, left thigh and lower leg severely injured  ",Y
1997.01.20,AUSTRALIA,20-Jan-1997,1997,Unprovoked,Windsurfing,"Presumed fatal, no body recovered, shark mutilated wetsuit & harness recovered ",Y
1996.05.24,AUSTRALIA,24-May-1996,1996,Invalid,Tech diving ,"FATAL, but shark involvement prior to death was not confirmed",Y
1995.09.11,AUSTRALIA,11-Sep-1995,1995,Unprovoked,Abalone diving using Hookah (near calving whales),"FATAL, head, shoulder and arm severed, remains recovered at Munglinup Beach on 9/13/1995",Y
1993.11.21,AUSTRALIA,21-Nov-1993,1993,Unprovoked,Hookah diving,FATAL,Y
1993.06.09,AUSTRALIA,09-Jun-1993,1993,Unprovoked,Scuba diving,FATAL,Y
1993.06.05,AUSTRALIA,05-Jun-1993,1993,Unprovoked,Scuba diving at seal colony,FATAL,Y
1992.10.01,AUSTRALIA,01-Oct-1992,1992,Unprovoked,Surfing,FATAL,Y
1991.09.08,AUSTRALIA,08-Sep-1991,1991,Unprovoked,Scuba diving,FATAL,Y
1990.04.08,AUSTRALIA,08-Apr-1990,1990,Unprovoked,Free diving for trochus,Presumed FATAL,Y
1989.03.09,AUSTRALIA,09-Mar-1989,1989,Unprovoked,Surfing,Thigh bitten FATAL,Y
1988.11.08,AUSTRALIA,08-Nov-1988,1988,Sea Disaster,"The Christie V sank on 11/6/1988, survivors were adrift on a dinghy","FATAL  When James Coucom, the lone survivor, was rescued, ""2 sharks were pounding on the dinghy""",Y
1988.11.07,AUSTRALIA,07-Nov-1988,1988,Sea Disaster,"The Christie V sank on 11/6/1988, survivors were adrift on a dinghy",FATAL,Y
1987.09.18,AUSTRALIA,18-Sep-1987,1987,Unprovoked,Scuba Diving for scallops,FATAL,Y
1985.03.03,AUSTRALIA,03-Mar-1985,1985,Unprovoked,Free diving for scallops,FATAL,Y
1984.11.30,AUSTRALIA,30-Nov-1984,1984,Unprovoked,Sailing on catamaran & fell into the water,FATAL,Y
1983.07.26,AUSTRALIA,26-Jul-1983,1983,Sea Disaster,Swimming from the New Venture ,"FATAL, shark seized her by the chest and took her underwater ",Y
1983.07.25.b,AUSTRALIA,25-Jul-1983,1983,Sea Disaster,Swimming from the New Venture ,"FATAL, shark bit leg, then dragged him underwater ",Y
1982.03.07,AUSTRALIA,07-Mar-1982,1982,Unprovoked,Surfing,Legs bitten  FATAL,Y
1982.02.28,AUSTRALIA,28-Feb-1982,1982,Unprovoked,Spearfishing,"FATAL, body not recovered",Y
1977.08.23,AUSTRALIA,23-Aug-1977,1977,Unprovoked,Floating on an inflatable raft,"FATAL, left arm severed, legs bitten ",Y
1977.03.13.b,AUSTRALIA,13-Mar-1977,1977,Sea Disaster,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",FATAL,Y
1977.03.13.a,AUSTRALIA,13-Mar-1977,1977,Sea Disaster,"Their 9 m launch was run down by a 25,000-ton Japanese freighter  on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",FATAL,Y
1975.07.30.a,AUSTRALIA,30-Jul-1975,1975,Unprovoked,Scuba diving for abalone,FATAL,Y
1975.02.10,AUSTRALIA,10-Feb-1975,1975,Unprovoked,Swimming underwater from crayfish cage to a fishing bait,Right leg  severed FATAL,Y
1975.01.19,AUSTRALIA,19-Jan-1975,1975,Unprovoked,Surfing,"FATAL, body not recovered",Y
1974.01.09,AUSTRALIA,09-Jan-1974,1974,Unprovoked,Diving for abalone,"FATAL, right leg severed  ",Y
1972.06.26.b,AUSTRALIA,Reported 26-Jun-1972,1972,Unprovoked,,FATAL,Y
1972.06.26.a,AUSTRALIA,Reported 26-Jun-1972,1972,Unprovoked,,FATAL,Y
1971.12.05,AUSTRALIA,05-Dec-1971,1971,Unprovoked,,FATAL,Y
1971.09.05,AUSTRALIA,05-Sep-1971,1971,Unprovoked,Fishing," FATAL. Shark bite was minor injury, but he suffered a heart attack afterwards and died 6 hours later",Y
1967.12.17,AUSTRALIA,17-Dec-1967,1967,Unprovoked,Swimming,"FATAL, presumed taken by a shark, body not recovered",Y
1967.08.19,AUSTRALIA,19-Aug-1967,1967,Unprovoked,"Spearfishing, dived to pick up a float line","FATAL, ""bitten in two""",Y
1966.05.20.c,AUSTRALIA,20-May-1966,1966,Sea Disaster,Sinking of the dredge World Atlas,FATAL,Y
1966.05.20.a,AUSTRALIA,20-May-1966,1966,Sea Disaster,Shipwreck,"FATAL, other human remains bitten by sharks, 13 people missing",Y
1965.11.21.b,AUSTRALIA,21-Nov-1965,1965,Provoked,Fishing from 34' boat when pulled overboard by hooked shark,FATAL PROVOKED INCIDENT,Y
1964.11.18,AUSTRALIA,18-Nov-1964,1964,Unprovoked,Swimming out to rescue swimmers in difficulty,FATAL,Y
1963.01.28,AUSTRALIA,28-Jan-1963,1963,Unprovoked,Wading,"FATAL, right femoral artery severed, thigh, calf, buttock & left hand bitten  ",Y
1962.12.09,AUSTRALIA,09-Dec-1962,1962,Unprovoked,Spearfishing,"FATAL, right leg bitten thigh to calf  ",Y
1961.12.28.c,AUSTRALIA,28-Dec-1961,1961,Unprovoked,Standing,"FATAL, right arm severed at shoulder, left hand severed, right thigh bitten & surgically amputated.  Died  day after the attack",Y
1961.12.18.a,AUSTRALIA,18-Dec-1961,1961,Unprovoked,"Surfing, pushing board ashore","FATAL, right wrist and hand bitten, left leg severed above knee ",Y
1960.01.16,AUSTRALIA,16-Jan-1960,1960,Unprovoked,Free diving,"FATAL, right leg severed above knee, surgically amputated but died 9 days later ",Y
1959.12.19.b,AUSTRALIA,19-Dec-1959,1959,Unprovoked,Dived from dinghy to retrieve oar in heavy seas,FATAL,Y
1959.01.17.b,AUSTRALIA,17-Jan-1959,1959,Unprovoked,In deep water about 100 yards from his ship,FATAL,Y
1958.11.23,AUSTRALIA,23-Nov-1958,1958,Unprovoked,Swimming,FATAL,Y
1956.03.04,AUSTRALIA,04-Mar-1956,1956,Unprovoked,"Swimming, attacked at  surf carnival",FATAL,Y
1956.02.26,AUSTRALIA,26-Feb-1956,1956,Unprovoked,Diving into water,"FATAL, large amount of tissue removed from leg, artery severed  ",Y
1955.03.09,AUSTRALIA,09-Mar-1955,1955,Unprovoked,Body surfing,FATAL,Y
1955.02.05,AUSTRALIA,05-Feb-1955,1955,Unprovoked,Swimming,"FATAL, legs bitten ",Y
1955.01.17,AUSTRALIA,17-Jan-1955,1955,Unprovoked,Hunting lobsters in 2.4 m of water,"FATAL, anterior left leg & right calf bitten, no tissue lost  ",Y
1954.12.11,AUSTRALIA,11-Dec-1954,1954,Unprovoked,Swimming,FATAL,Y
1954.09.04,AUSTRALIA,04-Sep-1954,1954,Unprovoked,"Spearfishing, hunting crayfish","FATAL, after being bitten by shark, he was picked up by 85' trochus vessel Toorah that wrecked. His wounds reopened & he died ",Y
1954.02.27,AUSTRALIA,27-Feb-1954,1954,Unprovoked,Swimming,"FATAL, right thigh bitten ",Y
1951.12.06,AUSTRALIA,6-Dec-1951,1951,Unprovoked,Treading water,FATAL,Y
1951.10.22,AUSTRALIA,22-Oct-1951,1951,Unprovoked,Swimming,"FATAL, leg severed, shark dragged him through hole in protective net",Y
1951.09.02-R,AUSTRALIA,Reported 02-Sep-1951,1951,Unprovoked,"Body found on deserted luxury yacht, 38’ Christine","FATAL, abdominal wounds & right leg severed at the hip  ",Y
1950.12.16,AUSTRALIA,16-Dec-1950,1950,Unprovoked,Treading water,"FATAL, lower abdomen severely bitten & his left leg was severed",Y
1950.04.09.b,AUSTRALIA,09-Apr-1950,1950,Sea Disaster,"Sea Disaster, sinking of the fishing  launch Mavis",FATAL,Y
1949.08.28.a,AUSTRALIA,28-Aug-1949,1949,Unprovoked,Swimming,"FATAL, right leg, thigh & fingers lacerated ",Y
1949.04.17,AUSTRALIA,17-Apr-1949,1949,Unprovoked,Bathing in water 0.9 m deep,"FATAL, left leg severed",Y
1949.01.23,AUSTRALIA,23-Jan-1949,1949,Unprovoked,Lifesaving exhibition,FATAL,Y
1948.12.27,AUSTRALIA,27-Dec-1948,1948,Unprovoked,Swimming,"FATAL, disappeared while swimming  ",Y
1948.12.26,AUSTRALIA,26-Dec-1948,1948,Unprovoked,"Treading water, waiting for a wave","FATAL, left hand severed, left leg arm bitten, tissue removed hip to knee  ",Y
1948.02.12,AUSTRALIA,12-Feb-1948,1948,Unprovoked,Swimming,"FATAL, right thigh & leg bitten ",Y
1947.11.08.b,AUSTRALIA,08-Nov-1947,1947,Unprovoked,Swimming,"FATAL, leg severed at knee  ",Y
1947.11.00,AUSTRALIA,Nov-1947,1947,Unprovoked,,FATAL,Y
1946.11.20,AUSTRALIA,20-Nov-1946,1946,Unprovoked,Pearl diving from lugger,"FATAL, right arm severed",Y
1946.08.18,AUSTRALIA,18-Aug-1946,1946,Unprovoked,Swimming after a tennis ball,"FATAL, body not recovered",Y
1946.04.19,AUSTRALIA,19-Apr-1946,1946,Unprovoked,Swimming,FATAL,Y
1946.01.05,AUSTRALIA,05-Jan-1946,1946,Unprovoked,Swimming,"FATAL, left leg severed, right leg injured  ",Y
1945.06.15,AUSTRALIA,15-Jun-1945,1945,Unprovoked,Swimming,FATAL,Y
1943.05.14,AUSTRALIA,14-May-1943,1943,Sea Disaster,Hospital Ship Centaur torpedoed & sunk by the Japanese submarine I-177,FATAL,Y
1942.12.26,AUSTRALIA,26-Dec-1942,1942,Unprovoked,Dog paddling or standing,"FATAL, legs bitten ",Y
1942.01.04,AUSTRALIA,04-Jan-1942,1942,Unprovoked,Swimming,"FATAL, bitten in two  ",Y
1940.12.28,AUSTRALIA,28-Dec-1940,1940,Unprovoked,Standing on sandbank,"FATAL, injuries to lower back ",Y
1940.02.04,AUSTRALIA,4-Feb-1940,1940,Unprovoked,Wading,"FATAL, injuries to both arms  ",Y
1940.01.23,AUSTRALIA,23-Jan-1940,1940,Unprovoked,Swimming,"FATAL, left leg severed  ",Y
1939.12.14,AUSTRALIA,14-Dec-1939,1939,Unprovoked,Swimming ,"FATAL, left foot & right leg bitten, later surgically amputated  ",Y
1938.12.27,AUSTRALIA,27-Dec-1938,1938,Unprovoked,Swimming,"FATAL, thought to have been taken by a shark ",Y
1938.07.12,AUSTRALIA,12-Jul-1938,1938,Unprovoked,"Hardhat diving from Japanese pearling lugger, Reiyo Maru","FATAL, dragged out of diving helmet  ",Y
1937.11.11,AUSTRALIA,11-Nov-1937,1937,Unprovoked,Diving for trochus,FATAL,Y
1937.10.27.b,AUSTRALIA,27-Oct-1937,1937,Unprovoked,Swimming ,FATAL,Y
1937.10.27.a,AUSTRALIA,27-Oct-1937,1937,Unprovoked,Swimming ,FATAL,Y
1937.07.16.R,AUSTRALIA,Reported 16-Jul-1937,1937,Unprovoked,Pearl diving,FATAL,Y
1937.05.15,AUSTRALIA,15-May-1937,1937,Unprovoked,"Refused permission to cross on the ferry, he was swimming across the river","FATAL, left arm severed at elbow, right arm bitten, right leg severed at knee    ",Y
1937.02.13,AUSTRALIA,13-Feb-1937,1937,Unprovoked,Swimming,"FATAL, buttocks, ankle & right elbow bitten ",Y
1936.12.12,AUSTRALIA,12-Dec-1936,1936,Unprovoked,Swimming,"FATAL, leg severed at knee",Y
1936.12.01,AUSTRALIA,01-Dec-1936,1936,Boating,Fishing,"FATAL, his 2.4 m dinghy was found with 2' x 3' hole in its side & tooth fragments embedded in the planking",Y
1936.06.26,AUSTRALIA,26-Jun-1936,1936,Unprovoked,"Diving for trochus , but swimming on surface",FATAL,Y
1936.02.04,AUSTRALIA,04-Feb-1936,1936,Unprovoked,Swimming,"FATAL, taken by shark, body not recovered. Twenty months later, in October 1937, meshing (setting anti-shark gill nets) began  at metropolitan beaches",Y
1936.01.22,AUSTRALIA,22-Jan-1936,1936,Unprovoked,"Swimming. Passer-by, Len Bedford, heard him shriek , saw shark leap from the water & swimmer disappeared",FATAL ,Y
1936.00.00,AUSTRALIA,1936,1936,Unprovoked,Swimming ,FATAL ,Y
1935.08.26,AUSTRALIA,26-Aug-1935,1935,Unprovoked,"Fell overboard, hanging onto lifebuoy","FATAL. His body was not recovered, but about 3 weeks later 2 sharks were caught with human remains, thought to be those of Quinn",Y
1935.08.13,AUSTRALIA,13-Aug-1935,1935,Unprovoked,Diving for beche-de-mer from lugger,"FATAL, right buttock & thigh bitten ",Y
1935.03.09,AUSTRALIA,09-Mar-1935,1935,Unprovoked,Swimming,"FATAL, left thigh, buttock, left forearm bitten, finger removed  ",Y
1935.03.02,AUSTRALIA,02-Mar-1935,1935,Unprovoked,Standing,"FATAL, thigh bitten ",Y
1934.12.31.a,AUSTRALIA,31-Dec-1934,1934,Unprovoked,Swimming (lead swimmer in race),"FATAL, left leg bitten ",Y
1934.12.23.b,AUSTRALIA,23-Dec-1934,1934,Unprovoked,Taken as he dived into the water,FATAL,Y
1934.10.09,AUSTRALIA,09-Oct-1934,1934,Unprovoked,Bathing,FATAL,Y
1934.10.02,AUSTRALIA,22-Oct-1934,1934,Unprovoked,Freediving for trochus shell (submerged),"FATAL, forearm lacerated & surgically amputated, but died of gas gangrene 13 days afterwards ",Y
1934.08.26,AUSTRALIA,26-Aug-1934,1934,Unprovoked,Dived into sea from launch & bitten immediately,"FATAL, body was not recovered",Y
1934.04.01.a,AUSTRALIA,01-Apr-1934,1934,Unprovoked,Swimming in waist-deep water ,"FATAL, right leg lacerated",Y
1934.03.12,AUSTRALIA,12-Mar-1934,1934,Unprovoked,Swimming in hip-deep water,"FATAL, leg & buttocks removed ",Y
1933.11.20,AUSTRALIA,20-Nov-1933,1933,Unprovoked,Free diving for trochus ,"FATAL, right buttock & thigh bitten ",Y
1933.01.04,AUSTRALIA,04-Jan-1933,1933,Unprovoked,Swimming,Severe abdominal wounds FATAL (Note: 14 days earlier a dog was bitten in two by a large shark),Y
1932.05.12,AUSTRALIA,12-May-1932,1932,Unprovoked,Pearl diving,FATAL,Y
1931.08.01,AUSTRALIA,01-Aug-1931,1931,Unprovoked,Fell overboard?,FATAL,Y
1931.03.22,AUSTRALIA,22-Mar-1931,1931,Unprovoked,Fishing with a cast net,"FATAL, left thigh severely bitten ",Y
1930.12.13,AUSTRALIA,13-Dec-1930,1930,Unprovoked,Fell overboard,FATAL,Y
1930.12.00,AUSTRALIA,Dec-1930,1930,Unprovoked,,FATAL,Y
1930.06.04,AUSTRALIA,04-Jun-1930,1930,Unprovoked,,FATAL,Y
1930.02.15,AUSTRALIA,15-Feb-1930,1930,Unprovoked,Diving off pier & treading water,FATAL,Y
1929.12.26,AUSTRALIA,26-Dec-1929,1929,Unprovoked,Diving by wharf,"FATAL, left arm severed above elbow, lacerations on chest, right thumb severed, left thigh lacerated to bone, abrasions  ",Y
1929.12.03.R,AUSTRALIA,Reported 03-Dec-1929,1929,Unprovoked,,FATAL,Y
1929.09.01,AUSTRALIA,01-Sep-1929,1929,Unprovoked,Fell from wharf into water & attacked immediately,"FATAL, severe injuries to both legs ",Y
1929.04.09,AUSTRALIA,09-Apr-1929,1929,Unprovoked,,FATAL,Y
1929.04.04,AUSTRALIA,04-Apr-1929,1929,Unprovoked,Swimming between boats,FATAL,Y
1929.03.12,AUSTRALIA,12-Mar-1929,1929,Unprovoked,Bathing,FATAL,Y
1929.02.18,AUSTRALIA,18-Feb-1929,1929,Unprovoked,Body surfing,"FATAL, both thighs lacerated, right foot, fingers and knee abraded, died of sepsis",Y
1929.02.08,AUSTRALIA,08-Feb-1929,1929,Unprovoked,Swimming,"FATAL, right thigh bitten, femoral artery severed",Y
1929.01.27,AUSTRALIA,27-Jan-1929,1929,Unprovoked,Swimming,"FATAL, right buttock lacerated, left arm severed above elbow,  right forearm severed by shark, both arms surgically amputated",Y
1929.01.12,AUSTRALIA,12-Jan-1929,1929,Unprovoked,Body surfing,"FATAL, right thigh & hip bitten",Y
1928.04.04,AUSTRALIA,04-Apr-1928,1928,Unprovoked,Standing in waist-deep water,"FATAL, right hand severed, large lacerations on thigh",Y
1928.02.20,AUSTRALIA,20-Feb-1928,1928,Unprovoked,Pearl diving,FATAL,Y
1928.01.27,AUSTRALIA,27-Jan-1928,1928,Unprovoked,Retrieving meat from a cage in the water,FATAL,Y
1927.11.03,AUSTRALIA,03-Nov-1927,1927,Sea Disaster,The steamer Tahiti collided with the ferry Greycliffe,40 people perished,Y
1927.05.09.R,AUSTRALIA,Reported 09-May 1927,1927,Unprovoked,Walking,FATAL,Y
1927.01.03,AUSTRALIA,03-Jan-1927,1927,Unprovoked,Swimming,"FATAL, leg bitten from thigh to ankle",Y
1927.00.00.b,AUSTRALIA,1927,1927,Unprovoked,Swimming,"FATAL, shoulder bitten ",Y
1926.12.02.R,AUSTRALIA,Reported 02-Dec-1926,1926,Unprovoked,Diving for trochus,FATAL,Y
1926.03.17,AUSTRALIA,17-Mar-1926,1926,Unprovoked,Swimming ,FATAL,Y
1925.11.22,AUSTRALIA,22-Nov-1925,1925,Unprovoked,Floating on his back,"FATAL, thigh  & torso bitten, then shark charged rescue boat ",Y
1925.03.12,AUSTRALIA,12-Mar-1925,1925,Unprovoked,Swimming,"FATAL, right forearm severed, lacerations from buttocks to heel L",Y
1924.04.25,AUSTRALIA,25-Apr-1924,1924,Unprovoked,"Fishing, fell in water & swimming strongly to shore","FATAL, partial remains recovered ",Y
1924.01.19,AUSTRALIA,09-Jan-1924,1924,Unprovoked,Had just dived into water & was swimming,"FATAL, right thigh severely bitten, left arm lacerated ",Y
1923.12.02,AUSTRALIA,02-Dec-1923,1923,Unprovoked,"Fishing, standing in waist-deep water","FATAL, disappeared, thought to have been taken by a shark ",Y
1923.11.23,AUSTRALIA,23-Nov-1923,1923,Unprovoked,Dry shelling,"FATAL, disappeared, partial remains of Selim was found, there was no trace of Dea Opre",Y
1923.06.16,AUSTRALIA,16-Jun-1923,1923,Boating,"After rowing skiff was holed by shark, he was attempting to swim ashore","FATAL, taken by shark. Two other men drowned,  only 1 man survived",Y
1923.05.22,AUSTRALIA,22-May-1923,1923,Unprovoked,Diving?,FATAL,Y
1923.01.27.a,AUSTRALIA,27-Jan-1923,1923,Unprovoked,Swimming,"FATAL, back of thigh bitten ",Y
1922.12.05,AUSTRALIA,05-Dec-1922,1922,Unprovoked,Bathing in 3' to 4' of water,"FATAL, severe injuries to torso  ",Y
1922.04.26,AUSTRALIA,26-Apr-1922,1922,Unprovoked,Swimming,FATAL,Y
1922.03.02,AUSTRALIA,02-Mar-1922,1922,Unprovoked,Bathing in knee-deep water,"FATAL, right hand severed, lacerations on left thigh & left hand, died in hospital of gas gangrene",Y
1922.02.04,AUSTRALIA,04-Feb-1922,1922,Unprovoked,Swimming,"FATAL, both arms & shoulder bitten",Y
1922.01.15,AUSTRALIA,15-Jan-1922,1922,Unprovoked,Swimming ,FATAL,Y
1922.01.04,AUSTRALIA,04-Jan-1922,1922,Unprovoked,Surfing,"FATAL, disappeared, then his shark-bitten remains washed ashore ",Y
1921.11.27.b,AUSTRALIA,27-Nov-1921,1921,Unprovoked,Fell from his father's back into the water,"FATAL, disappeared, body not recovered",Y
1921.10.04,AUSTRALIA,04-Oct-1921,1921,Unprovoked,Diving for beche-de-mer,"Left thigh bitten, FATAL",Y
1920.01.24.R.a,AUSTRALIA,Reported 24-Jan-1920,1920,Unprovoked,Free diving,FATAL,Y
1920.01.15,AUSTRALIA,15-Jan-1920,1920,Unprovoked,Swimming ,Leg bitten. FATAL,Y
1919.12.07,AUSTRALIA,07-Dec-1919,1919,Unprovoked,Swimming,"FATAL, left leg & calf bitten, leg surgically amputated ",Y
1919.01.09,AUSTRALIA,09-Jan-1919,1919,Unprovoked,Wading,"FATAL, right thigh bitten ",Y
1919.01.05,AUSTRALIA,05-Jan-1919,1919,Unprovoked,Wading (shrimping),"FATAL, thigh bitten, leg amputated ",Y
1918.09.19,AUSTRALIA,19-Sep-1918,1918,Unprovoked,Bathing,FATAL,Y
1916.12.08.b,AUSTRALIA,08-Dec-1916,1916,Unprovoked,Taking wife to beach & about 1 m from the shore,"FATAL, right arm severed, chest punctured ",Y
1916.11.10,AUSTRALIA,10-Nov-1916,1916,Unprovoked,Swimming,FATAL,Y
1916.11.09,AUSTRALIA,09-Nov-1916,1916,Unprovoked,Bathing,FATAL,Y
1916.04.25.R,AUSTRALIA,Reported 25-Apr-1916,1916,Unprovoked,Swimming,FATAL,Y
1916.04.03,AUSTRALIA,03-Apr-1916,1916,Unprovoked,Clinging to overturned rowing boat,FATAL,Y
1915.01.01,AUSTRALIA,01-Jan-1915,1915,Unprovoked,Bathing,FATAL,Y
1914.06.10,AUSTRALIA,10-Jun-1914,1914,Unprovoked,Bathing,FATAL,Y
1912.01.26,AUSTRALIA,26-Jan-1912,1912,Unprovoked,Swimming,FATAL,Y
1912.01.01,AUSTRALIA,01-Jan-1912,1912,Unprovoked,Bathing,FATAL,Y
1911.03.29.R,AUSTRALIA,Reported 29-Mar-1911,1911,Unprovoked,Swimming,FATAL,Y
1910.12.23.R,AUSTRALIA,Reported 23-Dec-1910,1910,Sea Disaster,Shipwrecked pearling schooner,FATAL,Y
1910.01.26,AUSTRALIA,26-Jan-1910,1910,Unprovoked,,FATAL,Y
1909.12.15.R,AUSTRALIA,Reported 15-Dec-1909,1909,Unprovoked,Fell overboard,FATAL,Y
1909.06.18,AUSTRALIA,18-Jun-1909,1909,Sea Disaster,"1446-ton Norwegian barque Errol, bound from Peru to Newcastle with 22 on board wrecked. Survivors shelterd on the wreck of the Annasona. Subsequently the Master, his wife & 4 children perished along with several crew. Survivors (5) were rescued 7/12/1909","FATAL, only his legs, still in sea-boots, were recovered ",Y
1908.09.21,AUSTRALIA,   21-Sep-1908,1908,Unprovoked,Fell from the jetty,FATAL,Y
1907.12.21,AUSTRALIA,21-Dec-1907,1907,Unprovoked,Bathing,FATAL,Y
1907.10.18.R,AUSTRALIA,Reported 18-Oct-1907,1907,Unprovoked,Bathing,FATAL,Y
1907.02.03,AUSTRALIA,03-Feb-1907,1907,Unprovoked,Bathing,FATAL,Y
1906.09.05.R,AUSTRALIA,Reported 05-Sep-1906,1906,Unprovoked,Swimming,FATAL,Y
1906.04.14,AUSTRALIA,14-Apr-1906,1906,Unprovoked,Diving for beche-de-mer ,FATAL,Y
1906.01.28,AUSTRALIA,28-Jan-1906,1906,Unprovoked,Bathing,FATAL,Y
1905.09.29,AUSTRALIA,29-Sep-1905,1905,Unprovoked,Swimming,FATAL. Shark involvement suspected but not confirmed,Y
1904.02.07,AUSTRALIA,07-Feb-1904,1904,Unprovoked,Swimming after his hat,FATAL,Y
1903.06.21,AUSTRALIA,21-Jun-1903,1903,Unprovoked,Swimming,FATAL,Y
1903.03.20.R,AUSTRALIA,Reported 20-Mar-1903,1903,Unprovoked,Suicide,Jumped off cliff,Y
1903.03.12,AUSTRALIA,12-Mar-1903,1903,Unprovoked,Swimming,FATAL,Y
1903.01.10,AUSTRALIA,  10-Jan-1903,1903,Unprovoked,,FATAL,Y
1902.11.10,AUSTRALIA,10-Nov-1902,1902,Unprovoked,Swimming,FATAL,Y
1902.01.25.R,AUSTRALIA,Reported 25-Jan-1902,1902,Unprovoked,Dangling feet in the water,FATAL,Y
1901.01.30,AUSTRALIA,30-Jan-1901,1901,Unprovoked,Bathing,"Thigh bitten, FATAL",Y
1900.12.27,AUSTRALIA,27-Dec-1900,1900,Unprovoked,Bathing,FATAL,Y
1898.12.28.R,AUSTRALIA,Reported 28-Dec-1898,1898,Unprovoked,Fell oveboard,FATAL,Y
1896.11.29,AUSTRALIA,29-Nov-1896,1896,Unprovoked,Swimming,FATAL,Y
1896.11.01,AUSTRALIA,01-Nov-1896,1896,Unprovoked,Boat swamped,FATAL,Y
1896.01.11,AUSTRALIA, 11-Jan-1896,1896,Unprovoked,Bathing,FATAL,Y
1895.12.09,AUSTRALIA,09-Dec-1895,1895,Unprovoked,Bathing,FATAL,Y
1895.11.16,AUSTRALIA,16-Nov-1895,1895,Unprovoked,Fishing,FATAL,Y
1895.06.03.R,AUSTRALIA,Reported 03-Jun-1895,1895,Unprovoked,Pearl diving,FATAL,Y
